Date,kodex200,kodex200x2,kbond3y,kbond10y,kbond20y,us500_UH,usbond10y_UH
2009-07-31,16841.0,9329.920028475106,77263.0,68709.80868283735,52690.726016130095,2430.495185979672,8517.096089935823
2009-08-03,16868.0,9358.429155102463,77002.0,68353.80526168791,52141.120904837575,2454.021759673268,8379.927846068982
2009-08-04,16898.0,9390.306186626323,77008.0,68207.81731675884,51914.83927702072,2470.400993396405,8388.926311162822
2009-08-05,16827.0,9309.980052052306,76963.0,68323.16686468324,52086.88728834184,2476.518579124515,8386.085597706387
2009-08-06,16890.0,9378.28897811407,76806.0,68177.33646942537,51860.98146998179,2462.688895230152,8382.759445904165
2009-08-07,16974.0,9470.157950255352,76844.0,68292.60425649857,52032.80502917791,2492.9487384856225,8324.709842989518
2009-08-10,16971.0,9465.382382126742,76764.0,68148.55367219826,51809.74647756602,2497.426392017129,8404.320370634585
2009-08-11,16986.0,9480.687221624512,76917.0,68107.42867937853,51743.67993625957,2494.25517120236,8547.84182454037
2009-08-12,16810.0,9282.78980294579,76798.0,68170.4204475122,51835.86247950525,2519.597301431716,8521.094147346645
2009-08-13,16908.0,9389.624806079972,76798.0,67921.47863736138,51453.74052873716,2524.028977166464,8536.31204640133
2009-08-14,17102.0,9603.679363597328,76690.0,67725.71127011465,51153.62248097371,2514.277767529432,8591.419702728566
2009-08-17,16621.0,9062.01720611022,76764.0,67893.19393940401,51403.13230602667,2489.9893341708703,8768.976716984946
2009-08-18,16680.0,9124.986072159756,76870.0,68059.63241353109,51651.65083567039,2487.817370934979,8669.176804553173
2009-08-19,16658.0,9099.539375531323,77064.0,68226.64185336056,51901.61820196637,2516.6986728945017,8721.914462466388
2009-08-20,17003.0,9475.084149717355,76998.0,68029.4155202691,51598.006249093385,2530.440977227849,8704.133479980435
2009-08-21,17109.0,9591.794392049522,77100.0,68248.35865021964,51926.60636918667,2580.466621796243,8622.886133909491
2009-08-24,17458.0,9981.66675988208,76990.0,67690.13837975866,51073.62096003592,2570.481175022229,8641.637214531704
2009-08-25,17343.0,9848.658359890367,77060.0,68062.63211902576,51632.243570620856,2594.0481274309004,8720.794728427181
2009-08-26,17450.0,9968.698522317783,77100.0,68281.68215193943,51961.06172991342,2575.723882082401,8673.165148006388
2009-08-27,17287.0,9780.960594224907,77200.0,68397.09613079435,52133.170867840265,2595.611374675992,8695.022523606705
2009-08-28,17370.0,9873.408256950988,77049.0,68251.29221455599,51907.34522713555,2593.8605390103985,8709.606716712487
2009-08-31,17186.0,9662.741848444555,76994.0,68055.73102476023,51606.3409529071,2575.5181990620245,8748.081890706817
2009-09-01,17577.0,10100.960325492228,77015.0,68326.78680384862,52013.89926182199,2514.677176216872,8755.981960857276
2009-09-02,17477.0,9984.503327117014,77175.0,68547.00369452982,52345.63017893024,2499.7189317191987,8782.566473607754
2009-09-03,17461.0,9964.716322907743,77310.0,68873.7080949199,52841.03025600445,2521.921671772769,8757.721381422767
2009-09-04,17418.0,9914.134868183884,77282.0,68884.56659883996,52854.08528801533,2539.799246990732,8653.491762375621
2009-09-07,17396.0,9887.595561404563,77236.0,68738.6165656422,52626.50728432229,2532.346157850411,8629.426031359504
2009-09-08,17525.0,10032.747461346353,77294.0,68749.51026876981,52639.595825098935,2534.776423466955,8549.972306365062
2009-09-09,17434.0,9927.042858457264,77349.0,68813.14248351412,52733.44581255296,2554.2293479214427,8556.8133536508
2009-09-10,17813.0,10357.156482486413,76987.0,68089.85865820595,51621.30108373411,2582.4383658143706,8622.63509111963
2009-09-11,17906.0,10463.742171546895,77085.0,68413.1044091729,52107.90552278218,2574.568296111121,8623.104753671214
2009-09-14,17722.0,10247.115879486666,77003.0,68373.44768046738,52043.938622450056,2594.5140276356133,8598.43829427275
2009-09-15,17924.0,10479.169303517368,77063.0,68384.43337120331,52057.11041257816,2591.320311000793,8538.691844909763
2009-09-16,18322.0,10942.966190410283,77200.0,68657.21328317071,52468.86042021407,2603.767322043984,8451.694865938673
2009-09-17,18431.0,11071.518365440525,77289.0,68878.81445791681,52803.98101943826,2602.0410362578227,8496.873384852452
2009-09-18,18458.0,11102.286699593553,77366.0,68942.57226333523,52898.133148827226,2604.777280008957,8457.742505800816
2009-09-21,18405.0,11036.854695528602,77272.0,68849.37956964728,52751.51319571517,2599.263353073221,8455.383952344011
2009-09-22,18654.0,11333.824129098792,77137.0,68596.96522689286,52361.11941974056,2591.67865444207,8407.416281263791
2009-09-23,18638.0,11312.672454391248,77177.0,68712.97288172168,52534.64642265868,2559.4046522383496,8391.673007669593
2009-09-24,18463.0,11098.527721309,77294.0,68987.58639828446,52950.97339580097,2529.50388509032,8407.583329609788
2009-09-25,18390.0,11009.09022504223,77298.0,68892.69254505212,52801.688961610496,2504.508295897541,8403.048997628748
2009-09-28,18232.0,10818.258155069843,77331.0,68905.25123808098,52817.33585075036,2564.9292576188377,8464.013863835931
