날짜,KOSPI
1985-01-04,1.0
1985-02-01,0.969906407487401
1985-03-02,0.982433405327574
1985-04-01,0.965802735781138
1985-05-01,0.965370770338373
1985-06-01,0.983297336213103
1985-07-01,0.989056875449964
1985-08-01,0.982649388048956
1985-09-02,1.00007199424046
1985-10-02,1.01432685385169
1985-11-01,1.08106551475882
1985-12-02,1.17616990640749
1986-01-04,1.15493160547156
1986-02-01,1.26645068394528
1986-03-03,1.4381569474442
1986-04-01,1.46083513318934
1986-05-01,1.66349892008639
1986-06-02,1.75205183585313
1986-07-01,1.97084233261339
1986-08-01,1.90525557955364
1986-09-01,1.82469402447804
1986-10-02,1.73354931605472
1986-11-01,1.93650107991361
1986-12-01,1.96263498920086
1987-01-05,2.23340532757379
1987-02-02,2.41166306695464
1987-03-02,2.9167026637869
1987-04-01,2.58192944564435
1987-05-01,2.79330453563715
1987-06-01,2.96443484521238
1987-07-01,3.49517638588913
1987-08-01,3.41259899208063
1987-09-01,3.49424046076314
1987-10-02,3.66486681065515
1987-11-02,3.42397408207343
1987-12-01,3.78048956083513
1988-01-04,4.56141108711303
1988-02-01,4.40856731461483
1988-03-02,4.72620590352772
1988-04-01,4.65932325413967
1988-05-02,5.16450683945284
1988-06-01,5.05997120230382
1988-07-01,5.19136069114471
1988-08-01,4.78221742260619
1988-09-01,4.87789776817855
1988-10-04,5.25406767458603
1988-11-01,5.98358531317495
1988-12-01,6.53131749460043
1989-01-04,6.36637868970482
1989-02-01,6.60835133189345
1989-03-02,7.22325413966883
1989-04-01,6.77134629229662
1989-05-01,6.71533477321814
1989-06-01,6.15269978401728
1989-07-01,6.44823614110871
1989-08-01,7.02152627789777
1989-09-01,6.78480921526278
1989-10-04,6.43642908567315
1989-11-01,6.52505399568035
1989-12-01,6.54946004319654
1990-01-03,6.45183585313175
1990-02-01,6.20295176385889
1990-03-02,6.05392368610511
1990-04-02,4.95795536357091
1990-05-01,5.7447804175666
1990-06-01,5.08848092152628
1990-07-02,4.88394528437725
1990-08-01,4.36911447084233
1990-09-01,4.34038876889849
1990-10-05,4.96875449964003
1990-11-01,5.01821454283657
1990-12-01,5.01159107271418
1991-01-03,4.57451403887689
1991-02-01,4.86371490280778
1991-03-02,4.75053995680346
1991-04-01,4.64802015838733
1991-05-01,4.40136789056875
1991-06-01,4.35759539236861
1991-07-01,5.1622030237581
1991-08-01,4.91799856011519
1991-09-02,5.07609791216703
1991-10-01,5.01036717062635
1991-11-01,4.69481641468683
1991-12-02,4.39827213822894
1992-01-03,4.89928005759539
1992-02-01,4.40964722822174
1992-03-02,4.36515478761699
1992-04-01,4.43462922966163
1992-05-01,4.13390928725702
1992-06-01,3.97429805615551
1992-07-01,3.67134629229662
1992-08-01,4.05176385889129
1992-09-01,3.69920806335493
1992-10-01,4.43182145428366
1992-11-02,4.77580993520518
1992-12-01,4.88437724982001
1993-01-04,4.82764578833693
1993-02-01,4.62894168466523
1993-03-02,4.80021598272138
1993-04-01,5.19488840892729
1993-05-01,5.41619870410367
1993-06-01,5.39143268538517
1993-07-01,5.25514758819295
1993-08-02,4.78675305975522
1993-09-01,5.17544996400288
1993-10-02,5.40475161987041
1993-11-01,5.83916486681065
1993-12-01,6.23599712023038
1994-01-03,6.80856731461483
1994-02-01,6.6154067674586
1994-03-02,6.2434845212383
1994-04-01,6.54226061915047
1994-05-02,6.76378689704824
1994-06-01,6.71965442764579
1994-07-01,6.68084953203744
1994-08-01,6.79791216702664
1994-09-01,7.56306695464363
1994-10-01,7.95975521958243
1994-11-01,7.73513318934485
1994-12-01,7.39640028797696
1995-01-03,6.66349892008639
1995-02-02,6.37645788336933
1995-03-02,6.70827933765299
1995-04-01,6.45788336933045
1995-05-02,6.35349172066235
1995-06-01,6.43923686105112
1995-07-01,6.72116630669547
1995-08-01,6.58070554355651
1995-09-01,7.07451403887689
1995-10-02,7.12930165586753
1995-11-01,6.70208783297336
1995-12-01,6.35665946724262
1996-01-03,6.32699784017279
1996-02-01,6.13988480921526
1996-03-02,6.29344852411807
1996-04-01,7.06191504679626
1996-05-02,6.50172786177106
1996-06-01,5.88502519798416
1996-07-01,5.91583873290137
1996-08-01,5.62627789776818
1996-09-02,5.68516918646508
1996-10-01,5.45421166306696
1996-11-01,5.23023758099352
1996-12-02,4.68840892728582
1997-01-03,4.93765298776098
1997-02-01,4.87062634989201
1997-03-03,4.87645788336933
1997-04-01,5.06285097192225
1997-05-02,5.44830813534917
1997-06-02,5.36645068394528
1997-07-01,5.22764578833693
1997-08-01,5.00626349892009
1997-09-01,4.65881929445644
1997-10-01,3.38941684665227
1997-11-01,2.93635709143269
1997-12-01,2.70921526277898
1998-01-03,4.08480921526278
1998-02-02,4.02433405327574
1998-03-02,3.46321094312455
1998-04-01,3.03254139668826
1998-05-02,2.39042476601872
1998-06-01,2.14456443484521
1998-07-01,2.47177825773938
1998-08-01,2.23297336213103
1998-09-01,2.2341252699784
1998-10-01,2.90453563714903
1998-11-02,3.25327573794096
1998-12-01,4.04938804895608
1999-01-04,4.11396688264939
1999-02-01,3.74413246940245
1999-03-02,4.45629949604032
1999-04-01,5.41821454283657
1999-05-03,5.29892008639309
1999-06-01,6.35709143268539
1999-07-01,6.98142548596112
1999-08-02,6.75219582433405
1999-09-01,6.02001439884809
1999-10-01,6.00079193664507
1999-11-01,7.17537796976242
1999-12-01,7.40151187904968
2000-01-04,6.79539236861051
2000-02-01,5.9638588912887
2000-03-02,6.19827213822894
2000-04-03,5.2223902087833
2000-05-02,5.26911447084233
2000-06-01,5.91231101511879
